LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,Timestamp,dataset,Process,FormattedTime,Month,PID,Logrecord,ADDR,LogLevel,TimeEpoch,Cluster
1,03-17,16:13:38,1702.0,2395.0,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
25,03-17,16:13:38,2227.0,2227.0,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
24,03-17,16:13:38,2227.0,2227.0,I,PhoneStatusBar,cancelAutohide,E27,cancelAutohide,1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
23,03-17,16:13:38,2227.0,2227.0,I,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
22,03-17,16:13:38,1702.0,14638.0,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
21,03-17,16:13:38,1702.0,14638.0,D,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
20,03-17,16:13:38,1702.0,3697.0,W,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
19,03-17,16:13:38,2227.0,2227.0,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,E157,updateDimmedActivatedHideSensitive overlap:false,1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
18,03-17,16:13:38,2227.0,2227.0,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",E155,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>",1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
17,03-17,16:13:38,1702.0,3693.0,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
16,03-17,16:13:38,1702.0,10454.0,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
15,03-17,16:13:38,1702.0,10454.0,D,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
14,03-17,16:13:38,2227.0,2227.0,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
26,03-17,16:13:38,1702.0,27365.0,I,WindowManager,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,E41,Destroying surface Surface(name=<*>) called by <*>,1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
12,03-17,16:13:38,2227.0,2227.0,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is false,1900-03-17 16:13:38,Android_2k_cleaned.csv,,,,,,,,-2202450382,-1
